Event,Probability,Word Order,Eta1,Eta2,I1,I2,Deviation Score
bob eat rice,0.04,OVS,1.993961544431619684903672317075026673999641669711445024298368697923840,1.993961544431619684903672317075026673999641669711445024298368697923840,2.617339926099613385528710512509331326000358330288554975701631302076160,0E-69,0.500000000000000000000000000000000025
bob eat rice,0.04,OSV,1.993961544431619684903672317075026673999641669711445024298368697923840,0.0,2.617339926099613385528710512509331326000358330288554975701631302076160,1.993961544431619684903672317075026673999641669711445024298368697923840,0.500000000000000000000000000000000025
bob drink coffee,0.02,SVO,2.72192809488736221408253799550463280,1.92192809488736227179033963106317000,1.889373375643870856349844834079725200,0.79999999999999994229219836444146280,0.239769779167841521711150894611210675
bob drink coffee,0.02,SOV,2.72192809488736221408253799550463280,0.0,1.889373375643870856349844834079725200,2.72192809488736221408253799550463280,0.500000000000000000000000000000000025
bob drink coffee,0.02,VSO,3.629653500167427662264599658942491980,1.92192809488736227179033963106317000,0.981647970363805408167783170641866020,1.707725405280065390474260027879321980,0.180681914865983423668602150294963075
bob drink coffee,0.02,VOS,3.629653500167427662264599658942491980,1.77832835373141156487748500215834434380745648117249468037952051047710,0.981647970363805408167783170641866020,1.85132514643601609738711465678414763619254351882750531962047948952290,0.180681914865983423668602150294963000
bob drink coffee,0.02,OVS,1.77832835373141156487748500215834434380745648117249468037952051047710,1.77832835373141156487748500215834434380745648117249468037952051047710,2.83297311679982150555489782742601365619254351882750531962047948952290,0E-68,0.500000000000000000000000000000000025
bob drink coffee,0.02,OSV,1.77832835373141156487748500215834434380745648117249468037952051047710,0.0,2.83297311679982150555489782742601365619254351882750531962047948952290,1.77832835373141156487748500215834434380745648117249468037952051047710,0.500000000000000000000000000000000025
bob drink cola,0.04,SVO,2.72192809488736221408253799550463280,1.92192809488736227179033963106317000,1.889373375643870856349844834079725200,0.79999999999999994229219836444146280,0.239769779167841521711150894611210675
bob drink cola,0.04,SOV,2.72192809488736221408253799550463280,0.0,1.889373375643870856349844834079725200,2.72192809488736221408253799550463280,0.500000000000000000000000000000000025
bob drink cola,0.04,VSO,3.629653500167427662264599658942491980,1.92192809488736227179033963106317000,0.981647970363805408167783170641866020,1.707725405280065390474260027879321980,0.180681914865983423668602150294963075
bob drink cola,0.04,VOS,3.629653500167427662264599658942491980,2.125814583693911513168777434712478256601499971153745613164471889668400,0.981647970363805408167783170641866020,1.503838916473516149095822224230013723398500028846254386835528110331600,0.191501498203612093410554751724354500
